date,time,PPFD_toa
2022/10/3,10:48:00,1824.7642984659556
2022/10/3,10:49:00,1826.34489682581
2022/10/3,10:50:00,1827.8890313554155
2022/10/3,10:51:00,1829.3966726566737
2022/10/3,10:52:00,1830.8677920262699
2022/10/3,10:53:00,1832.3023614562098
2022/10/3,10:54:00,1833.7003536343614
2022/10/3,10:55:00,1835.0617419449668
2022/10/3,10:56:00,1836.3865004691563
2022/10/3,10:57:00,1837.6746039854368
2022/10/3,10:58:00,1838.9260279701743
2022/10/3,10:59:00,1840.1407485980599
2022/10/3,11:00:00,1841.318742742564
2022/10/3,11:01:00,1842.459987976375
2022/10/3,11:02:00,1843.56446257183
2022/10/3,11:03:00,1844.6321455013242
2022/10/3,11:04:00,1845.6630164377143
2022/10/3,11:05:00,1846.6570557547032
2022/10/3,11:06:00,1847.6142445272149
2022/10/3,11:07:00,1848.5345645317552
2022/10/3,11:08:00,1849.4179982467576
2022/10/3,11:09:00,1850.2645288529181
2022/10/3,11:10:00,1851.074140233514
2022/10/3,11:11:00,1851.8468169747116
2022/10/3,11:12:00,1852.5825443658591
2022/10/3,11:13:00,1853.2813083997685
2022/10/3,11:14:00,1853.943095772979
2022/10/3,11:15:00,1854.5678938860133
2022/10/3,11:16:00,1855.1556908436153
2022/10/3,11:17:00,1855.7064754549792
2022/10/3,11:18:00,1856.2202372339598
2022/10/3,11:19:00,1856.6969663992725
2022/10/3,11:20:00,1857.1366538746825
2022/10/3,11:21:00,1857.539291289173
2022/10/3,11:22:00,1857.9048709771084
2022/10/3,11:23:00,1858.2333859783785
2022/10/3,11:24:00,1858.524830038531
2022/10/3,11:25:00,1858.7791976088913
2022/10/3,11:26:00,1858.9964838466676
2022/10/3,11:27:00,1859.1766846150426
2022/10/3,11:28:00,1859.319796483254
2022/10/3,11:29:00,1859.425816726658
2022/10/3,11:30:00,1859.494743326782
2022/10/3,11:31:00,1859.5265749713626
2022/10/3,11:32:00,1859.5213110543714
2022/10/3,11:33:00,1859.478951676026
2022/10/3,11:34:00,1859.3994976427878
2022/10/3,11:35:00,1859.2829504673466
2022/10/3,11:36:00,1859.129312368593
2022/10/3,11:37:00,1858.938586271575
2022/10/3,11:38:00,1858.7107758074424
2022/10/3,11:39:00,1858.4458853133783
2022/10/3,11:40:00,1858.1439198325154
2022/10/3,11:41:00,1857.8048851138417
2022/10/3,11:42:00,1857.4287876120893
2022/10/3,11:43:00,1857.0156344876123
2022/10/3,11:44:00,1856.565433606251
2022/10/3,11:45:00,1856.0781935391813
2022/10/3,11:46:00,1855.5539235627512
2022/10/3,11:47:00,1854.9926336583055
2022/10/3,11:48:00,1854.3943345119956
2022/10/3,11:49:00,1853.7590375145742
2022/10/3,11:50:00,1853.08675476118
2022/10/3,11:51:00,1852.377499051108
2022/10/3,11:52:00,1851.631283887565
2022/10/3,11:53:00,1850.8481234774115
2022/10/3,11:54:00,1850.0280327308926
2022/10/3,11:55:00,1849.1710272613545
2022/10/3,11:56:00,1848.2771233849455
2022/10/3,11:57:00,1847.3463381203078
2022/10/3,11:58:00,1846.3786891882498
2022/10/3,11:59:00,1845.3741950114136
2022/10/3,12:00:00,1844.3328747139194
2022/10/3,12:01:00,1843.254748121005
2022/10/3,12:02:00,1842.1398357586472
2022/10/3,12:03:00,1840.9881588531694
2022/10/3,12:04:00,1839.7997393308399
2022/10/3,12:05:00,1838.5745998174539
2022/10/3,12:06:00,1837.3127636379015
2022/10/3,12:07:00,1836.014254815724
2022/10/3,12:08:00,1834.679098072659
2022/10/3,12:09:00,1833.3073188281646
2022/10/3,12:10:00,1831.8989431989417
2022/10/3,12:11:00,1830.4539979984313
2022/10/3,12:12:00,1828.9725107363076
2022/10/3,12:13:00,1827.454509617952
2022/10/3,12:14:00,1825.900023543919
2022/10/3,12:15:00,1824.3090821093806
2022/10/3,12:16:00,1822.68171560357
2022/10/3,12:17:00,1821.0179550091993
2022/10/3,12:18:00,1819.317832001872
2022/10/3,12:19:00,1817.5813789494791
2022/10/3,12:20:00,1815.808628911584
